owner_id,pg_name,city,address,sharing_type,bed_available,total_room,gender,furnish_type,ameneties,security_deposit,rent,image
1,102 Dhawale Residency,pune,ghorpadi,4,0,2,boys,fully_furnished,['Security'],5886,12686,
2,R K Plaza Flat No 202,hyderabad,kukatpally,4,0,2,any,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",8550,16100,
3,Satyam shivam_sion chunabhatti,mumbai,sion west,4,0,4,any,fully_furnished,"['AC', 'Power Backup', 'Security', 'Washing Machine', 'Fridge']",22250,22250,
4,Kandula Vaidehi Nest_203,Bengaluru,Murugeshpalya,1,0,1,any,semi_furnished,[],19000,19000,
5,HNR Apartment-402,bengaluru,mathikere,1,0,1,any,semi_furnished,[],10000,10000,
6,5 BHK in GEMS PRIDE,hyderabad,begumpet,3,1,1,boys,fully_furnished,['Security'],7900,17000,
7,Pintu Agarwal Nest -303,bengaluru,hulimavu,2,0,1,boys,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",8000,16000,
8,V M Mansion 401,bengaluru,yelahanka,1,0,1,any,semi_furnished,[],7500,7500,
9,Mohammed Akbar Nest 102,bengaluru,ejipura,1,0,1,boys,semi_furnished,[],12000,12000,
10,Sumana Nest-109,bengaluru,nagadevanahalli,2,0,1,any,semi_furnished,[],4500,9000,
11,Gahlot Nest_02,newdelhi,kakraula,2,0,2,any,semi_furnished,[],9000,9000,
12,APARNA CYBER LIFE F-304,hyderabad,serilingampally,1,1,0,boys,fully_furnished,"['Power Backup', 'Security']",9700,22900,
13,Ganesh apartment_103,pune,kharadi,1,0,1,any,semi_furnished,['Security'],14000,14000,
14,AKSHAYA NEST,bengaluru,st bed layout,6,0,3,any,fully_furnished,"['Power Backup', 'Washing Machine', 'Fridge', 'Tv']",7400,14800,
15,Jaypee Kosmos_1501,noida,sector 134,3,0,3,boys,semi_furnished,"['Power Backup', 'Security']",7500,7500,
16,Murali Nest_201,bengaluru,whitefield,1,0,1,any,semi_furnished,[],14000,14000,
17,1102 E Sylvania Apartments,pune,magarpatta,2,1,0,boys,fully_furnished,"['Swimming Pool', 'Security']",10050,18000,
18,Sri Sai residency Nest-204,bengaluru,hulimavu,1,0,1,any,semi_furnished,[],16000,16000,
19,vyjayanth chalets,hyderabad,nanakramguda,1,1,0,boys,fully_furnished,"['Swimming Pool', 'Gym', 'Power Backup']",10800,21600,
20,Independent house ,hyderabad,sanjeeva reddy nagar,6,0,6,any,semi_furnished,[],33000,33000,
21,RAJAGOPAL K NEST 201,bengaluru,hsr layout,3,0,3,any,semi_furnished,[],33000,33000,
22,Ramakrishna Nest-103,bengaluru,visveshwaraya layout,2,0,2,any,semi_furnished,[],12000,12000,
23,Mf apartment-207,hyderabad,neknampur,2,0,2,any,semi_furnished,[],0,0,
24,Satguru Kripa Niwas 05,newdelhi,mohan garden,2,0,1,any,fully_furnished,"['AC', 'Fridge', 'Tv']",5050,10100,
25,RS  COMFORT NEST-205,bengaluru,mahadevapura,1,0,1,any,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",25000,25000,
26,RAJARAM NEST 2,chennai,uthandi,1,0,1,boys,fully_furnished,"['Gym', 'AC', 'Power Backup', 'Fridge']",15000,15000,
27,LLOYD Nest,mumbai,ville parle west,3,1,1,boys,fully_furnished,"['AC', 'Washing Machine', 'Fridge', 'Tv']",17450,35000,
28,Provident Park Square,bengaluru,jyotipuram,2,0,2,girls,semi_furnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Security']",14000,14000,
29,Allwyn Nest,mumbai,bhandup west,1,0,1,any,unfurnished,['Security'],23000,23000,
30,FLAT NO 501 SAI GRACIA APARTMENTS,hyderabad,begumpet,5,0,2,boys,fully_furnished,[],5500,11100,
31,Meena Nest,chennai,t nagar,2,0,2,any,semi_furnished,[],13750,13750,
32,HelloWorld Tranquil,bengaluru,hsr layout,2,0,2,any,fully_furnished,"['Power Backup', 'Washing Machine', 'Fridge', 'Tv']",22000,22000,
33,Mantra Insignia_502,pune,amanora park town,2,0,2,any,semi_furnished,['Tv'],13500,13500,
34,SP Recidency-303,bengaluru,kachohalli,2,0,2,any,semi_furnished,[],6000,6000,
35,Madhu Nest,hyderabad,khairtabad,1,1,0,girls,fully_furnished,['Security'],6300,12600,
36,Rajeev House Ardee City,gurugram,ardee city,6,3,3,girls,fully_furnished,['Power Backup'],5600,10500,
37,Pramoda Nest ,mumbai,andheri west,2,0,2,any,unfurnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Security']",62500,62500,
38,"Nathkrupa Residency_	303",pune,wadgaon sheri,1,0,1,boys,semi_furnished,[],18000,18000,
39,"	marigold runwal bliss 2006",mumbai,bhandup east,1,1,0,girls,semi_furnished,"['Swimming Pool', 'Gym', 'AC', 'Power Backup', 'Security']",12200,46200,
40, Powai Park CHS,mumbai,powai,1,1,0,boys,fully_furnished,[],12550,23550,
41,Dhanalakshmi M Nest,chennai,thiruvanmiyur,6,0,3,girls,fully_furnished,"['AC', 'Power Backup', 'Washing Machine', 'Fridge', 'Tv']",8333,16666,
42,Manjula Nest,bengaluru,vijaya nagar,1,1,0,boys,fully_furnished,[],8500,17350,
43,Ashrith Le Parc 301,bengaluru,naganathapura,2,0,2,any,semi_furnished,[],13000,13000,
44,Yashodhan Apartment_20,pune,amanora park town,2,0,1,boys,fully_furnished,"['Security', 'Washing Machine', 'Fridge']",6550,13100,
45,Pankaj Nikam's Nest,mumbai,kurla west,4,1,1,boys,semi_furnished,[],14810,31200,
46,Gopal Nest 13,bengaluru,yesvantpur,2,0,2,any,semi_furnished,[],8250,8250,
47,Rajeev House Ardee City,gurugram,ardee city,6,3,3,girls,fully_furnished,['Power Backup'],5600,10500,
48,1 BHK Malviya Nagar,newdelhi,malviya nagar,1,0,1,any,fully_furnished,[],26000,26000,
49,HelloWorld Aura,indore,nipania,2,0,1,any,fully_furnished,"['Power Backup', 'Washing Machine', 'Fridge', 'Tv']",5000,10000,
50,Rita House - 10,indore,sukhlia,1,0,1,any,semi_furnished,[],9000,9000,
51,Mayur Nest,indore,bhawrasla,1,0,1,any,unfurnished,[],5500,5500,
52,Sanjay Nest#1,mumbai,andheri east,2,0,1,boys,fully_furnished,['Security'],8000,25850,
